Source,Target,Weight,Type
19,12,0.028571429,undirected
19,13,0.057142857,undirected
19,14,0.057142857,undirected
19,15,0.057142857,undirected
20,2,0.055555556,undirected
20,3,0.11111111,undirected
20,5,0.055555556,undirected
20,6,0.055555556,undirected
20,7,0.055555556,undirected
20,9,0.055555556,undirected
20,12,0.055555556,undirected
20,13,0.055555556,undirected
20,14,0.055555556,undirected
20,15,0.11111111,undirected
21,0,0.071428571,undirected
21,1,0.035714286,undirected
21,4,0.035714286,undirected
21,6,0.071428571,undirected
21,7,0.035714286,undirected
21,8,0.035714286,undirected
21,10,0.035714286,undirected
21,11,0.035714286,undirected
21,13,0.035714286,undirected
21,14,0.14285714,undirected
21,15,0.071428571,undirected
22,0,0.051282051,undirected
22,1,0.025641026,undirected
22,2,0.051282051,undirected
22,3,0.012820513,undirected
22,4,0.025641026,undirected
22,5,0.025641026,undirected
22,6,0.051282051,undirected
22,7,0.025641026,undirected
22,8,0.025641026,undirected
22,9,0.051282051,undirected
22,10,0.025641026,undirected
22,11,0.025641026,undirected
22,12,0.012820513,undirected
22,13,0.025641026,undirected
22,14,0.025641026,undirected
22,15,0.038461538,undirected
23,2,0.1025641,undirected
23,3,0.076923077,undirected
23,4,0.025641026,undirected
23,7,0.1025641,undirected
23,9,0.051282051,undirected
23,10,0.025641026,undirected
23,11,0.051282051,undirected
23,13,0.051282051,undirected
24,0,0.026666667,undirected
24,1,0.026666667,undirected
24,2,0.04,undirected
24,3,0.013333333,undirected
24,4,0.026666667,undirected
24,5,0.066666667,undirected
24,6,0.026666667,undirected
24,7,0.066666667,undirected
24,8,0.013333333,undirected
24,9,0.026666667,undirected
24,10,0.026666667,undirected
24,11,0.026666667,undirected
24,12,0.013333333,undirected
24,13,0.053333333,undirected
24,14,0.053333333,undirected
24,15,0.04,undirected
25,7,0.16666667,undirected
25,9,0.083333333,undirected
25,11,0.083333333,undirected
25,12,0.083333333,undirected
25,15,0.16666667,undirected
26,0,0.04,undirected
26,1,0.04,undirected
26,2,0.06,undirected
26,3,0.02,undirected
26,4,0.04,undirected
26,5,0.04,undirected
26,7,0.08,undirected
26,8,0.04,undirected
26,9,0.02,undirected
26,11,0.02,undirected
26,12,0.04,undirected
26,13,0.02,undirected
26,14,0.04,undirected
26,15,0.08,undirected
27,0,0.064516129,undirected
