word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
πρωτην,0,0.004784689,0,0,0,0,0.0049261084,0,0,0,0,0,0,0.0047393365,0,0.0044642857
αριστου,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
ωστε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
θελησῃ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
αναγινωσκειν,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0.0044642857
οτεδη,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
πρωτον,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μη,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ουσαν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
χρησιν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0.0047619048,0
παρα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τῳ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ποιητῃ,0,0.004784689,0,0.0048543689,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
παραληψεται,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
δευτερον,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0.0047619048,0
σημαινομενον,0,0,0,0,0,0,0.0049261084,0,0,0.0042918455,0,0,0,0,0,0
παραφθειρει,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τοιο,0,0,0,0,0,0.0046296296,0,0,0,0,0.0049751244,0,0,0,0,0
προπερισπαστεον,0.0049751244,0.004784689,0.0093896714,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
θεσσαλικως,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
παραυξηθεν,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
εγινετο,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
καλου,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
καλοιο,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
ουτως,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ψιλως,0.0049751244,0,0,0,0,0,0,0,0,0,0,0.0050761421,0.0050251256,0.0047393365,0,0
προενεκτεον,0,0,0,0.0048543689,0,0,0,0,0.0052083333,0,0,0,0,0.0047393365,0.0047619048,0
ηκουε,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
τας,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δεινας,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
απτοητουσ,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
ζηνοδοτος,0,0.004784689,0,0.0048543689,0,0.0046296296,0,0,0,0.008583691,0,0.0050761421,0.010050251,0,0,0
αυτος,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ομοιως,0.0049751244,0.009569378,0,0.0048543689,0.0047393365,0,0,0.0049019608,0,0.0042918455,0,0.0050761421,0.0050251256,0.0047393365,0.0047619048,0
πνι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
ισχυρας,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
μετελαμβανεν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
ταις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αριστοφανους,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
γλωσσαις,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
εγεγραπτο,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
αεπτους,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εισι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
οι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
απροσπελαστους,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
αποδιδοασιν,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
απο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αψασθαι,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
ον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ουδεις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
αν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αψαιτο,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
δι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
σχυν,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
εμοι,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0.0050251256,0,0,0
δοκει,0,0,0,0,0.0047393365,0,0,0.0049019608,0,0,0,0,0,0,0,0
ϊαπτω,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
γεγενησθαι,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
σημαινει,0.0049751244,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
διαφθειρω,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
βλαπτω,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
