word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
ἀνωγεν,0,0.00021673169,0,0.00021505376,0.00021915407,0,0,0,0,0,0.00021630976,0,0,0,0,0,0.00021217908,0,0,0,0.00021645022,0,0.00021422451,0,0
ἐξω,0.00064613397,0.00021673169,0,0.00021505376,0,0.00063640221,0.00042526047,0.00063626723,0.00065132436,0.00065516488,0.00021630976,0,0.00042946103,0.00021729683,0.00021294719,0.00043620502,0.00084871632,0.000427716,0.00086486486,0.00021853147,0,0,0.00021422451,0.00021317416,0.00044033465
ανηρετο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021645022,0,0,0,0
μυθω,0,0,0,0,0,0.00021213407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021422451,0,0
κατεχοιμι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
ἐσθιειν,0,0.00021673169,0,0,0,0.00042426814,0,0.00021208908,0,0,0,0,0,0,0,0.00021810251,0,0.000427716,0,0,0,0.00021819769,0,0,0
παρελκει,0.00021537799,0,0.00021349274,0.00043010753,0,0.00021213407,0.00042526047,0.00021208908,0.00021710812,0.00021838829,0.00021630976,0.00043946385,0.00021473051,0,0,0.00021810251,0,0,0.00021621622,0.00021853147,0,0.00021819769,0.00042844901,0,0
παντα,0.0015076459,0.00086692674,0.00085397096,0.00043010753,0.0013149244,0.0010606703,0.0012757814,0.0016967126,0.00086843248,0.0013103298,0.00086523902,0.00087892771,0.00085892205,0.00065189048,0.00063884157,0.0010905125,0.00063653724,0.00106929,0.0015135135,0.00021853147,0.0012987013,0.0013091861,0.00042844901,0.0014922191,0.0017613386
ὀνοσασθ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021621622,0,0,0.00021819769,0,0,0
βρἀχυ,0,0,0,0,0,0.00021213407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
διασταλτεον,0.0017230239,0.0010836584,0.0014944492,0.0023655914,0.00087661626,0.0010606703,0.0014884117,0.0021208908,0.0021710812,0.0019654946,0.0021630976,0.0017578554,0.0023620356,0.001303781,0.0021294719,0.0026172301,0.0021217908,0.001283148,0.0015135135,0.0024038462,0.0028138528,0.0017455815,0.0021422451,0.0017053933,0.00088066931
ϊδειν,0.00021537799,0,0,0,0,0,0,0.00021208908,0,0,0,0,0.00021473051,0,0,0.00021810251,0,0,0,0,0,0,0,0,0
προς,0.0092612535,0.0065019506,0.0078992314,0.0077419355,0.0089853167,0.009121765,0.0082925792,0.0084835631,0.0067303517,0.0072068137,0.0071382219,0.0079103494,0.00837449,0.010212951,0.0072402044,0.0071973828,0.0082749841,0.0076988879,0.0090810811,0.0076486014,0.0093073593,0.0096006982,0.0074978578,0.0085269665,0.0077058565
σαφεστερον,0,0,0.00042698548,0,0.00043830813,0,0.00042526047,0.00042417815,0.00021710812,0,0.00064892927,0.00021973193,0.00021473051,0.00021729683,0.00042589438,0.00021810251,0.00042435816,0.000213858,0,0,0.00064935065,0,0.00021422451,0.00042634833,0.00022016733
διακρινθειτε,0,0,0,0,0,0.00021213407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021853147,0,0,0,0,0
ἀλλῳ,0.00043075598,0.00043346337,0.00021349274,0.00064516129,0,0.00021213407,0.00042526047,0.00042417815,0.00043421624,0.00043677659,0.00021630976,0.00043946385,0.00064419154,0.00021729683,0.00021294719,0.00065430752,0.00021217908,0.00064157399,0.0010810811,0.00065559441,0.00043290043,0,0.00021422451,0.00021317416,0
εον,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0.00021294719,0,0,0,0,0,0,0,0,0,0
ἀγγελον,0.00021537799,0,0,0,0,0,0,0,0,0.00021838829,0.00021630976,0,0.00021473051,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
χαιρων,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0.00022016733
ἐνι,0.00043075598,0.00021673169,0.00085397096,0.00021505376,0.00021915407,0.0012728044,0.00063789071,0.00084835631,0.00043421624,0.0015287181,0.00021630976,0.00043946385,0.00042946103,0.00043459365,0.00063884157,0.00065430752,0.00021217908,0.000213858,0.00043243243,0,0.00021645022,0.00065459306,0.00085689803,0.00063952249,0.00066050198
θυμῳ,0.00021537799,0.00021673169,0.00021349274,0.00021505376,0.00021915407,0.00021213407,0,0.00042417815,0.00021710812,0,0.00043261951,0.00043946385,0,0.00021729683,0,0,0,0,0,0.00021853147,0,0,0.00042844901,0,0.00022016733
λειπει,0.00043075598,0,0.00042698548,0.00021505376,0.00021915407,0.0010606703,0,0.00021208908,0,0.00043677659,0.00064892927,0.00065919578,0.00064419154,0.0017383746,0.00042589438,0.00043620502,0.00042435816,0.00064157399,0.00043243243,0.0013111888,0.00086580087,0.00065459306,0.0010711225,0.00063952249,0.00044033465
ἐον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
μεγιστον,0.00021537799,0,0,0,0.00043830813,0.00021213407,0,0,0,0,0,0.00043946385,0,0,0,0,0,0,0,0,0,0,0,0,0.00044033465
αστεος,0,0,0,0,0,0,0,0,0,0,0,0.00021973193,0,0.00021729683,0,0,0,0,0,0,0,0,0,0,0
γερων,0.00043075598,0,0,0,0.00021915407,0.00063640221,0.00021263024,0.00021208908,0.00043421624,0,0.00021630976,0,0,0.00021729683,0,0,0.00063653724,0,0,0.00021853147,0,0,0.00021422451,0.00042634833,0
ξερτου,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213858,0,0,0,0,0,0,0
ἐπεβισετο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
χιᾳ,0,0,0.00021349274,0,0,0,0,0.00021208908,0.00043421624,0,0,0,0.00021473051,0.00021729683,0.00021294719,0,0.00021217908,0,0,0,0,0,0,0,0
καταβαντε,0,0,0,0,0,0,0,0,0,0,0.00021630976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
κοιναι,0,0,0.00042698548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042435816,0,0,0,0,0.00021819769,0,0,0.00022016733
ἐθελη,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0,0,0,0,0,0,0
αιψα,0,0.00021673169,0,0,0,0.00021213407,0,0,0,0,0,0.00021973193,0.00021473051,0.00021729683,0,0,0,0,0.00021621622,0,0,0,0,0,0
abbr:place.place,0.013568813,0.012570438,0.014730999,0.01655914,0.013368398,0.012303776,0.012757814,0.016330859,0.014546244,0.015505569,0.016872161,0.010766864,0.013528022,0.015862668,0.015545145,0.015267176,0.012730745,0.014328486,0.016,0.016171329,0.016666667,0.015928431,0.013496144,0.015135366,0.016732717
κεν,0.0012922679,0.00065019506,0.0010674637,0.00064516129,0.0010957703,0.00042426814,0.00063789071,0.00021208908,0.0010855406,0.00043677659,0.00064892927,0.00065919578,0.00085892205,0.00065189048,0.00042589438,0.00065430752,0.00084871632,0.001710864,0.00086486486,0.0017482517,0.00064935065,0.00065459306,0.00064267352,0.0014922191,0.00088066931
διπλη,0.00064613397,0.0017338535,0.0017079419,0.0015053763,0.0017532325,0.0019092066,0.0010631512,0.0012725345,0.0010855406,0.0015287181,0.00021630976,0.0024170512,0.00085892205,0.0015210778,0.00063884157,0.0017448201,0.0019096117,0.001710864,0.00021621622,0.00021853147,0.0015151515,0.0017455815,0.00042844901,0.0019185675,0.001321004
δεν,0,0,0,0.00021505376,0,0,0,0,0,0,0,0,0,0.00021729683,0.00042589438,0.00021810251,0,0,0,0,0,0,0,0.00021317416,0
παρελκεται,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021217908,0.000213858,0,0.00021853147,0,0.00021819769,0,0,0
οὑτω,0.00043075598,0.0010836584,0,0.00064516129,0.00043830813,0.00042426814,0.0010631512,0.00021208908,0,0.00043677659,0.00021630976,0.0010986596,0.0010736526,0.00043459365,0.00021294719,0.00065430752,0.00042435816,0.000213858,0.00043243243,0.00065559441,0.00021645022,0.00065459306,0.00042844901,0.00063952249,0.00022016733
τισι,0,0.00043346337,0.00064047822,0.00021505376,0.00021915407,0.0010606703,0.00021263024,0.00084835631,0.00065132436,0.00065516488,0.00021630976,0.00087892771,0.00042946103,0.00021729683,0.00021294719,0,0.00063653724,0.00064157399,0,0.00043706294,0.00021645022,0.00065459306,0.00064267352,0.00021317416,0.00022016733
ουτω,0.00021537799,0,0,0,0.00043830813,0,0,0,0.00021710812,0,0,0,0.00021473051,0.00043459365,0,0,0,0,0,0.00021853147,0,0,0,0.00021317416,0
θηλυκως,0.00021537799,0.00021673169,0.00064047822,0,0.00043830813,0.00021213407,0.00042526047,0.00042417815,0.00021710812,0.00021838829,0,0.00021973193,0.00021473051,0.00065189048,0.00063884157,0.00043620502,0.00042435816,0.000427716,0.00021621622,0.00043706294,0.00021645022,0.00021819769,0.00021422451,0.00042634833,0.00066050198
ἐθεωμεθα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213858,0,0,0,0,0,0,0
ανυσις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213858,0,0,0,0,0,0,0
γραφει,0.0038768038,0.0021673169,0.0027754056,0.0023655914,0.0026298488,0.0027577429,0.0023389326,0.002757158,0.001736865,0.0032758244,0.0010815488,0.0015381235,0.0019325746,0.0030421556,0.0029812606,0.0010905125,0.0025461489,0.001710864,0.00086486486,0.0021853147,0.0012987013,0.0019637792,0.0019280206,0.0019185675,0.0030823426
ἑοιο,0,0,0.00021349274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021217908,0,0,0,0,0,0,0,0
οὐτε,0.0015076459,0.00065019506,0.00064047822,0.0010752688,0.0006574622,0.00084853627,0.0010631512,0.00084835631,0.0010855406,0.0010919415,0.00021630976,0.00087892771,0.00085892205,0.0010864841,0.0012776831,0.00087241003,0.00084871632,0.00064157399,0.00086486486,0.0013111888,0.00064935065,0.00043639537,0.0010711225,0.00063952249,0.00088066931
φρεσι,0.00021537799,0,0.00021349274,0.00021505376,0,0,0.00021263024,0.00021208908,0,0,0,0,0.00042946103,0,0.00021294719,0,0,0,0,0.00021853147,0,0,0,0,0.00022016733
ἰδαιον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021645022,0,0,0,0
