word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
αμαζονων,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
βασιλισσαν,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
υστερον,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
προσχων,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
σωμα,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
αυτης,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0
ευπρεπες,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
πανυ,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ερωτα,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ηλθεν,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
της,0,0,0,0,0,0,0,0,0,0,0,0,0,0
προειρημενης,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0
βαρεως,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0
τε,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εφερεν,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
θανατῳ,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ορων,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
δυσφορουντα,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
θερσιτης,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
συνηθως,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ελοιδορει,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
εφ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
οργισθεις,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0
ηρως,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
γρονθω,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
παισας,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
παραυτα,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
οδοντων,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ενεχθεντων,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
χαμαι,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
προπερισπαστεον,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0
τιθεισι,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
τριτα,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
πληθυντικα,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
οριστικα,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ενεστωτος,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
χρονου,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
αυτην,0,0,0,0,0,0,0,0,0,0,0,0,0,0
φωνην,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
τον,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τονον,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0
αποφερεται,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
πληθυντικαις,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
δοτικαις,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
μετοχαισ,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
λεγομεν,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
λεγετε,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
λεγουσι,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
λεγουσιν,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ισταμεν,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ιστατε,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ιστασι,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ιστασιν,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ϊεμ,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
ιετε,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ιεισι,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
ιεντες,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ιεντων,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
ϊεισιν,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
αντιπιπτει,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
μονον,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
τι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αιτιον,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
φασι,0,0,0.065217391,0,0,0,0,0,0.052631579,0,0,0,0,0
μετοχικον,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
στασι,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
πτολεμαιος,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
ασκαλωνιτης,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
περι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
κρατη,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ιου,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
αιρεσεως,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
φησιν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ωκα,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0
γραφει,0,0.045454545,0,0,0,0,0,0,0,0,0.066666667,0,0,0
ηκα,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
απολογουμ,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
ιν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ελενην,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
πυργον,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
ιουσαν,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
αρμοζειν,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
ελενης,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0
δρομαιαν,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
προσερχεσθαι,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ετι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
καταλαβη,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
αυτους,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ταυτα,0,0,0,0,0,0,0,0,0,0,0,0,0,0
διαλεγομενουσ,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
αρετη,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
