Source,Target,Weight,Type
urn:cts:greekLit:tlg5026.msA.hmt:1.11,6,0.048672566,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,7,0.013274336,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,8,0.03539823,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,9,0.022123894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,10,0.048672566,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,11,0.039823009,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,12,0.022123894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,13,0.039823009,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,14,0.066371681,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,15,0.039823009,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,0,0.036585366,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,1,0.036585366,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,2,0.024390244,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,3,0.012195122,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,4,0.012195122,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,5,0.024390244,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,6,0.06097561,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,7,0.048780488,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,8,0.024390244,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,9,0.024390244,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,10,0.06097561,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,11,0.036585366,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,12,0.06097561,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,13,0.06097561,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,14,0.012195122,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.12,15,0.024390244,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,0,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,1,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,2,0.083333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,3,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,4,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,5,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,6,0.083333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,8,0.016666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,9,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,10,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,11,0.083333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,13,0.016666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,14,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.13,15,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,0,0.048387097,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,1,0.048387097,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,2,0.016129032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,3,0.032258065,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,4,0.048387097,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,5,0.048387097,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,6,0.016129032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,7,0.080645161,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,8,0.064516129,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,9,0.016129032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,10,0.032258065,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,11,0.064516129,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,12,0.016129032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,13,0.048387097,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,14,0.016129032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.14,15,0.032258065,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,0,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,1,0.075,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,3,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,4,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,5,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,6,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,7,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,8,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,9,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,11,0.075,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,12,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,13,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,14,0.025,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.15,15,0.075,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,1,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,4,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,5,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,7,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,9,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,10,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,11,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,12,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,14,0.12,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.16,15,0.12,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,0,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,2,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,3,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,4,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,5,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,6,0.09375,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,10,0.09375,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,11,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.33,12,0.125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,1,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,2,0.125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,3,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,4,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,5,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,6,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,8,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,9,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,10,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,12,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,13,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,14,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.34,15,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,2,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,4,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,7,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,8,0.13333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,9,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,10,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,12,0.066666667,undirected
