word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
αχιληος,0.00033383408,0.00016977929,0,0.00016818029,0,0,0,0,0,0,0.00016820858,0,0,0.0001676727,0,0
αναγνωστεον,0.00050075113,0.00033955857,0.0010176391,0.0010090817,0.00050581689,0.00082413054,0.00065692232,0.00083822297,0.00034387895,0.0015060241,0,0.0005011694,0,0.00067069081,0.00033361134,0.00033636058
μετρον,0.0010015023,0.0010186757,0.00033921303,0.00033636058,0.00033721126,0.00032965222,0.00032846116,0.00050293378,0.00034387895,0.00016733601,0.00033641716,0,0.00033881077,0.00033534541,0.00050041701,0.00033636058
αχος,0,0,0,0,0.00016860563,0.00016482611,0,0,0,0,0,0,0,0,0,0
λυπην,0,0,0,0,0,0,0,0,0.00017193948,0,0.00033641716,0,0,0,0,0.00016818029
επενεγκειν,0,0,0,0,0,0,0,0.00016764459,0,0,0,0,0,0,0,0
ιλιευσιν,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
θιγειν,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
χειλεσι,0,0,0,0.00016818029,0,0,0,0,0,0,0,0,0,0,0,0
θηλης,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
ολως,0.00016691704,0.00050933786,0.00033921303,0.00016818029,0.00033721126,0.00016482611,0,0.00016764459,0.00034387895,0.00033467202,0.00033641716,0,0,0.0001676727,0.00016680567,0
μετεσχε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
γαλακτος,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
μυρια,0,0,0,0,0,0.00032965222,0,0,0,0,0,0.00016705647,0.00016940539,0,0.00033361134,0
θρηνητικα,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001676727,0,0
μυρεσθαι,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
επιθετον,0,0.00016977929,0,0.00050454087,0.00016860563,0.00049447833,0,0.00050293378,0.00034387895,0.00033467202,0.00067283431,0.00016705647,0,0.00083836351,0.00016680567,0.00050454087
αλγεων,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
ηκουσαν,0,0,0.00016960651,0,0,0,0.00016423058,0,0,0,0.00016820858,0,0,0,0,0
οις,0.00033383408,0.00067911715,0.0015264586,0.00067272116,0.00067442253,0.0013186089,0.00032846116,0.00083822297,0.0010316369,0.00033467202,0.00033641716,0.0010023388,0.00033881077,0.0001676727,0.00050041701,0.00067272116
μυριασθαι,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
κλαυσαι,0.00016691704,0,0,0,0,0.00016482611,0,0,0,0,0,0,0,0,0,0
ατοπον,0.00033383408,0.00016977929,0,0,0.00033721126,0.00016482611,0,0,0.00085969739,0,0,0,0.00016940539,0.0001676727,0,0.00033636058
μουσων,0,0.00016977929,0.00033921303,0.00016818029,0,0.00016482611,0,0,0,0,0.00016820858,0.00016705647,0.00016940539,0.0001676727,0,0
ερωτᾳ,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
φρονησις,0,0,0.00016960651,0,0.00016860563,0,0.00016423058,0,0.00034387895,0,0,0,0.00016940539,0,0,0
παντ,0.00033383408,0.00016977929,0.00050881954,0,0.00016860563,0.00065930443,0.00016423058,0.00016764459,0.00017193948,0,0.00033641716,0.00033411293,0,0.0001676727,0,0.00016818029
ειδησισ,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
προαιρεσις,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
ακριβης,0.00016691704,0,0,0,0,0,0,0,0.00017193948,0.00016733601,0,0,0,0,0,0
αμεινονων,0.00016691704,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
πραξεων,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αιρεσις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
αχαιοις,0,0.00033955857,0.00016960651,0,0.00016860563,0,0.00016423058,0,0.00017193948,0,0,0.00016705647,0,0,0,0
ξουθος,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0.00016940539,0,0,0
αιολου,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0.00016940539,0,0,0.00016818029
παις,0.00033383408,0.00016977929,0,0,0.00033721126,0.00065930443,0.00016423058,0.00016764459,0,0.00066934404,0.00016820858,0.00033411293,0.00016940539,0.00083836351,0.00016680567,0.00016818029
αγομενος,0.00016691704,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
κρεουσαν,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
ερεχθεως,0,0,0,0,0,0,0,0,0,0.00016733601,0,0,0,0,0.00016680567,0
θυγατερα,0,0.00016977929,0.00016960651,0.00033636058,0,0.00032965222,0.00032846116,0.00050293378,0,0.00066934404,0.00016820858,0.00016705647,0.00016940539,0.00033534541,0.00016680567,0
εσχεν,0.00033383408,0.00016977929,0.00033921303,0,0.00050581689,0.00016482611,0.00032846116,0.00016764459,0.00034387895,0.00033467202,0.00016820858,0,0.00016940539,0.00050301811,0.00016680567,0
αυτης,0.00083458521,0.0022071307,0.00050881954,0.00067272116,0.00050581689,0.00049447833,0.0008211529,0.00083822297,0.00034387895,0.00083668005,0.00050462574,0.00033411293,0.0010164323,0.00083836351,0.00016680567,0.00084090145
